adjudication_case_id,complex_r10,selection_stratum,selection_rank,reused_existing_qa,complexes_r05,member_node_count_r05_total,member_node_count_r10,adjudication_label,reviewer_note,allowed_labels
s2b11_059,s3ic_2799060030925697c4f7087b,grade_separated,4126bd158be4cfdd210bab29cc4d046049c43e738c018ccf569b793d53b3324d,FALSE,"[""s3ic_78a24bb0ed1d24229b9ef165"", ""s3ic_7f1404bf52e579406244e8f5""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_060,s3ic_3492a509910678b00c916d2a,grade_separated,4b4caea0ed6b48b30b66e1a9c9a6a8496a3bea7bfd06b3955cbd897c33eff739,FALSE,"[""s3ic_6cfc4900bf3fb42aaf75bfe6"", ""s3ic_7492097a86969924d3e6d90d""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_061,s3ic_67a0a4b5d3a6300ea01c4db6,random_changed,728644ca6957de2185a9a81540a8faba9e12a489fbb0487cb4bb7b95ab2d72d3,TRUE,"[""s3ic_78459452d18debac8ed729c3"", ""s3ic_d56a266637c5b30dfa8c5ef9""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_062,s3ic_6763c7bdaa5b9a7cca76c044,random_changed,cf70b21053ef6fde311276e3eaa8b4286524e0c44e0e3005f01955e0bbfd4f93,TRUE,"[""s3ic_49cd85d30b2cc8d8b04e9008"", ""s3ic_98f59593515c486d18aa5f35""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_063,s3ic_008d710ca264b7616eb5b4c9,random_changed,007d72517fab017261e1df87ab8857727a29ef7514ef9f03de6f3c07b8673b0b,FALSE,"[""s3ic_a27db31bfade69630dcd275a"", ""s3ic_c6b078d38fe38f6c0c9d8451""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_064,s3ic_cd130ee1a27be44318242502,random_changed,0085b898929ab9219aa949cc509487d57f4be2b1d28ab955f1d32ca86860f3f8,FALSE,"[""s3ic_3b3ce79c325a8fc16aedf780"", ""s3ic_630864762b896c4a2c8e1da5""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_065,s3ic_cf8a6318b68423f0ac1ca0b2,random_changed,00a3a290f879743b44e36986725699973b2a351eda417049b390ae17bf83d226,FALSE,"[""s3ic_7307efd8b712324107445230"", ""s3ic_c34d1ef3eeb50e59452897b8""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_066,s3ic_d640c3298fc6598ce0cba5d6,random_changed,00ace497c1406973dd802c1106098fa5bcf0a8cf550b13c961bd4c43d9379387,FALSE,"[""s3ic_876c0be9377249d6d1d5b274"", ""s3ic_c50fdb8390d54cd231d35283""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_067,s3ic_0bfcc89e163e608cc5cef0cb,random_changed,00e05e3f5d3188b28f701d5436d7b7d5d5f3a7c6623d2d45ea06b8ae8ddc492c,FALSE,"[""s3ic_008b947593842de838ebf2b8"", ""s3ic_cd96efe4c9a3293f1521e152""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_068,s3ic_253de4ab60dc122645d6fe49,random_changed,013d7d3819a6fc383b8041eee2338a4b34e8915561ca8f205fbb284b06462893,FALSE,"[""s3ic_0e0761734e9e2b0c4e30b104"", ""s3ic_f2eb9a9345d97acac3b940f1""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_069,s3ic_75849889c1200b928e4d6231,random_changed,018918e728362045d25b6553c71f780bdb8f14238f6e130de4e702e80a226ef2,FALSE,"[""s3ic_4d4dee264bb5aca3fd35fb98"", ""s3ic_9bd963df351cd34d4355452c""]",2,2,BOTH_ACCEPTABLE,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
s2b11_070,s3ic_b6d3216450d333bf42e614c4,random_changed,01dd4a3f22ebd14abb4d14e9d5a9e4be29a7a218e4c74417bfd701e8283a498e,FALSE,"[""s3ic_0565f679e1db416535e0a246"", ""s3ic_70532e657de508022225e8c9"", ""s3ic_ac408b21b3ef8ec446c049a5""]",3,4,10_CORRECT,,"[""5_CORRECT"", ""10_CORRECT"", ""BOTH_ACCEPTABLE"", ""NEITHER"", ""UNCERTAIN""]"
